lat,lon,depth,chlor,temp,-50,-100,-150,-200,-250,-300,-350,-400,-450,-500
78.5,15.5,0.0,0.651,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,22.5,0.0,0.651,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,23.5,-31.5,0.9246,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,24.5,-94.49,0.4747,2.22,0.56964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,25.5,-188.98,0.9918,1.5,1.1901599999999999,1.7852400000000002,0.8926200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,27.5,-125.98,0.4125,1.2,0.49499999999999994,0.7424999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,28.5,-220.47,0.3713,1.5,0.44556,0.66834,0.33417,0.07426,0.0,0.0,0.0,0.0,0.0,0.0
78.5,29.5,-220.47,0.4747,1.35,0.56964,0.85446,0.42723,0.09494000000000001,0.0,0.0,0.0,0.0,0.0,0.0
78.5,30.5,-251.97,0.651,1.5,0.7812,1.1718000000000002,0.5859000000000001,0.1302,0.0651,0.0,0.0,0.0,0.0,0.0
78.5,31.5,-251.97,0.5657,1.2,0.67884,1.01826,0.50913,0.11314,0.05657,0.0,0.0,0.0,0.0,0.0
78.5,32.5,-220.47,0.3227,0.62,0.38724,0.58086,0.29043,0.06454,0.0,0.0,0.0,0.0,0.0,0.0
78.5,33.5,-188.98,0.2272,0.77,0.27264,0.40896000000000005,0.20448000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,34.5,-157.48,0.4583,1.06,0.54996,0.82494,0.41247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,35.5,-125.98,0.8035,1.35,0.9642,1.4463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,36.5,-125.98,0.6983,1.06,0.83796,1.2569400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,37.5,-94.49,0.8619,1.5,1.0342799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,38.5,-125.98,0.9246,0.62,1.1095199999999998,1.66428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,39.5,-251.97,0.8619,0.48,1.0342799999999999,1.55142,0.77571,0.17238,0.08619,0.0,0.0,0.0,0.0,0.0
78.5,40.5,-251.97,0.7758,0.77,0.93096,1.3964400000000001,0.6982200000000001,0.15516000000000002,0.07758000000000001,0.0,0.0,0.0,0.0,0.0
78.5,41.5,-251.97,0.9576,0.77,1.14912,1.72368,0.86184,0.19152000000000002,0.09576000000000001,0.0,0.0,0.0,0.0,0.0
78.5,42.5,-220.47,1.3602,0.77,1.6322400000000001,2.44836,1.22418,0.27204,0.0,0.0,0.0,0.0,0.0,0.0
78.5,43.5,-188.98,0.7758,1.2,0.93096,1.3964400000000001,0.6982200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,44.5,-220.47,0.2804,1.64,0.33647999999999995,0.50472,0.25236,0.05608,0.0,0.0,0.0,0.0,0.0,0.0
78.5,45.5,-251.97,0.2524,1.5,0.30288,0.45432000000000006,0.22716000000000003,0.050480000000000004,0.025240000000000002,0.0,0.0,0.0,0.0,0.0
78.5,46.5,-251.97,0.2353,1.2,0.28236,0.42354,0.21177,0.047060000000000005,0.023530000000000002,0.0,0.0,0.0,0.0,0.0
78.5,47.5,-220.47,0.3115,0.77,0.37379999999999997,0.5607,0.28035,0.0623,0.0,0.0,0.0,0.0,0.0,0.0
78.5,48.5,-251.97,0.4125,0.91,0.49499999999999994,0.7424999999999999,0.37124999999999997,0.0825,0.04125,0.0,0.0,0.0,0.0,0.0
78.5,49.5,-220.47,0.4272,1.06,0.51264,0.7689600000000001,0.38448000000000004,0.08544000000000002,0.0,0.0,0.0,0.0,0.0,0.0
78.5,50.5,-220.47,0.4747,0.77,0.56964,0.85446,0.42723,0.09494000000000001,0.0,0.0,0.0,0.0,0.0,0.0
78.5,51.5,-188.98,0.7758,0.33,0.93096,1.3964400000000001,0.6982200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,52.5,-220.47,0.6983,0.48,0.83796,1.2569400000000002,0.6284700000000001,0.13966,0.0,0.0,0.0,0.0,0.0,0.0
78.5,53.5,-283.46,0.6742,0.48,0.80904,1.21356,0.60678,0.13484000000000002,0.06742000000000001,0.0,0.0,0.0,0.0,0.0
78.5,54.5,-251.97,0.3846,0.48,0.46152,0.69228,0.34614,0.07692,0.03846,0.0,0.0,0.0,0.0,0.0
78.5,55.5,-220.47,0.4125,0.19,0.49499999999999994,0.7424999999999999,0.37124999999999997,0.0825,0.0,0.0,0.0,0.0,0.0,0.0
78.5,56.5,-157.48,0.6983,0.33,0.83796,1.2569400000000002,0.6284700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,57.5,-157.48,0.7232,0.19,0.86784,1.30176,0.65088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,58.5,-125.98,0.5859,0.04,0.7030799999999999,1.05462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,59.5,-188.98,0.5859,-0.11,0.7030799999999999,1.05462,0.52731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,60.5,-251.97,2.8421,-0.11,3.4105199999999996,5.11578,2.55789,0.56842,0.28421,0.0,0.0,0.0,0.0,0.0
78.5,61.5,-283.46,2.8421,-0.4,3.4105199999999996,5.11578,2.55789,0.56842,0.28421,0.0,0.0,0.0,0.0,0.0
78.5,62.5,-283.46,0.9576,-0.11,1.14912,1.72368,0.86184,0.19152000000000002,0.09576000000000001,0.0,0.0,0.0,0.0,0.0
78.5,63.5,-314.96,0.3227,-0.11,0.38724,0.58086,0.29043,0.06454,0.03227,0.016135,0.0,0.0,0.0,0.0
78.5,64.5,-314.96,0.2614,-0.69,0.31368,0.47052000000000005,0.23526000000000002,0.05228000000000001,0.026140000000000004,0.013070000000000002,0.0,0.0,0.0,0.0
78.5,65.5,-314.96,0.2437,-0.54,0.29244,0.43866,0.21933,0.048740000000000006,0.024370000000000003,0.012185000000000001,0.0,0.0,0.0,0.0
78.5,66.5,-314.96,0.2707,-0.11,0.32483999999999996,0.48726,0.24363,0.05414,0.02707,0.013535,0.0,0.0,0.0,0.0
78.5,67.5,-377.95,0.2804,-0.25,0.33647999999999995,0.50472,0.25236,0.05608,0.02804,0.01402,0.011216,0.0,0.0,0.0
78.5,69.5,-377.95,0.2353,-0.11,0.28236,0.42354,0.21177,0.047060000000000005,0.023530000000000002,0.011765000000000001,0.009412,0.0,0.0,0.0
78.5,70.5,-409.45,0.2437,-0.69,0.29244,0.43866,0.21933,0.048740000000000006,0.024370000000000003,0.012185000000000001,0.009748,0.007311,0.0,0.0
78.5,72.5,-440.94,0.1974,0.04,0.23687999999999998,0.35531999999999997,0.17765999999999998,0.03948,0.01974,0.00987,0.007896,0.005921999999999999,0.0,0.0
78.5,97.5,-94.49,0.144,-0.4,0.17279999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,98.5,0.0,0.1208,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,99.5,-94.49,0.1342,-0.25,0.16104000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,106.5,-62.99,0.1599,0.04,0.19187999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,107.5,-31.5,0.2353,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.5,108.5,-62.99,0.1777,0.04,0.21323999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.5,-76.5,-283.46,0.3713,0.48,0.44556,0.66834,0.33417,0.07426,0.03713,0.0,0.0,0.0,0.0,0.0
77.5,-75.5,-629.92,0.651,0.33,0.7812,1.1718000000000002,0.5859000000000001,0.1302,0.0651,0.03255,0.02604,0.01953,0.01302,0.00651
77.5,-74.5,-692.91,0.5859,0.04,0.7030799999999999,1.05462,0.52731,0.11718,0.05859,0.029295,0.023436,0.017577,0.011718,0.005859
77.5,-73.5,-157.48,1.2243,0.62,1.4691599999999998,2.20374,1.10187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.5,-71.5,-62.99,0.3585,1.79,0.43019999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.5,-10.5,-283.46,0.184,1.5,0.2208,0.3312,0.1656,0.0368,0.0184,0.0,0.0,0.0,0.0,0.0
77.5,-7.5,-283.46,0.0714,1.06,0.08568,0.12852000000000002,0.06426000000000001,0.014280000000000001,0.0071400000000000005,0.0,0.0,0.0,0.0,0.0
77.5,-5.5,-535.43,0.1087,0.91,0.13044,0.19566,0.09783,0.021740000000000002,0.010870000000000001,0.005435000000000001,0.004348,0.003261,0.002174,0.001087
77.5,-2.5,-2960.63,0.4747,0.91,0.56964,0.85446,0.42723,0.09494000000000001,0.047470000000000005,0.023735000000000003,0.018988,0.014241,0.009494,0.004747
77.5,-1.5,-3055.12,1.5112,1.35,1.81344,2.7201600000000004,1.3600800000000002,0.30224000000000006,0.15112000000000003,0.07556000000000002,0.06044800000000001,0.045336,0.030224000000000004,0.015112000000000002
77.5,-0.5,-3149.61,2.7441,1.64,3.29292,4.93938,2.46969,0.54882,0.27441,0.137205,0.109764,0.082323,0.054882,0.027441
77.5,0.5,-3149.61,2.8421,1.79,3.4105199999999996,5.11578,2.55789,0.56842,0.28421,0.142105,0.113684,0.08526299999999999,0.056842,0.028421
77.5,1.5,-3149.61,3.8976,1.79,4.67712,7.015680000000001,3.5078400000000003,0.7795200000000001,0.38976000000000005,0.19488000000000003,0.15590400000000001,0.116928,0.07795200000000001,0.038976000000000004
77.5,2.5,-3086.61,5.1608,2.95,6.19296,9.28944,4.64472,1.03216,0.51608,0.25804,0.206432,0.154824,0.103216,0.051608
77.5,3.5,-2897.64,5.1608,3.24,6.19296,9.28944,4.64472,1.03216,0.51608,0.25804,0.206432,0.154824,0.103216,0.051608
77.5,4.5,-2614.17,6.1506,3.39,7.380719999999999,11.07108,5.53554,1.23012,0.61506,0.30753,0.246024,0.184518,0.123012,0.061506
77.5,5.5,-2582.68,6.5978,3.24,7.91736,11.876040000000001,5.938020000000001,1.31956,0.65978,0.32989,0.26391200000000004,0.197934,0.13195600000000002,0.06597800000000001
77.5,6.5,-1921.26,3.8976,3.54,4.67712,7.015680000000001,3.5078400000000003,0.7795200000000001,0.38976000000000005,0.19488000000000003,0.15590400000000001,0.116928,0.07795200000000001,0.038976000000000004
77.5,7.5,-2866.14,2.1464,3.68,2.5756799999999997,3.86352,1.93176,0.42928,0.21464,0.10732,0.085856,0.06439199999999999,0.042928,0.021464
77.5,8.5,-2141.73,0.7491,4.12,0.8989199999999999,1.34838,0.67419,0.14982,0.07491,0.037455,0.029964,0.022473,0.014982,0.007491
77.5,9.5,-1795.28,0.9246,4.41,1.1095199999999998,1.66428,0.83214,0.18492,0.09246,0.04623,0.036984,0.027738,0.018492,0.009246
77.5,10.5,-1165.35,1.0273,5.28,1.23276,1.8491400000000002,0.9245700000000001,0.20546000000000003,0.10273000000000002,0.05136500000000001,0.041092000000000004,0.030819000000000003,0.020546000000000002,0.010273000000000001
77.5,11.5,-251.97,0.5859,5.28,0.7030799999999999,1.05462,0.52731,0.11718,0.05859,0.0,0.0,0.0,0.0,0.0
77.5,12.5,-94.49,1.5652,3.68,1.87824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.5,13.5,-157.48,0.8322,3.39,0.99864,1.4979600000000002,0.7489800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.5,18.5,-62.99,0.3846,3.24,0.46152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
